Country,Clicks,Impressions,CTR,Position
New Zealand,84,746,11.26%,16.44
Sri Lanka,5,13,38.46%,2.77
India,2,13,15.38%,25.46
United States,0,31,0%,9.48
Singapore,0,30,0%,47.43
Australia,0,13,0%,22.31
Philippines,0,5,0%,3
South Africa,0,4,0%,2.25
Indonesia,0,4,0%,4.25
Pakistan,0,4,0%,13
Tokelau,0,4,0%,14.75
United Arab Emirates,0,4,0%,45.25
Hong Kong,0,3,0%,9
Vietnam,0,3,0%,22
Malaysia,0,3,0%,25
Kenya,0,2,0%,5
United Kingdom,0,2,0%,5.5
Lebanon,0,2,0%,5.5
Turkey,0,2,0%,6.5
Thailand,0,2,0%,7
Canada,0,2,0%,10.5
Jordan,0,2,0%,17
Denmark,0,2,0%,24
Barbados,0,1,0%,1
Finland,0,1,0%,1
France,0,1,0%,2
Maldives,0,1,0%,2
Saudi Arabia,0,1,0%,4
South Korea,0,1,0%,9
Netherlands,0,1,0%,10
Botswana,0,1,0%,11
Sweden,0,1,0%,11
Iraq,0,1,0%,15
Russia,0,1,0%,16
Bangladesh,0,1,0%,19
Mexico,0,1,0%,37
Ukraine,0,1,0%,48
Italy,0,1,0%,61
