Top pages,Clicks,Impressions,CTR,Position
http://www.stablestructure.co.nz/,36,352,10.23%,6.88
https://www.stablestructure.co.nz/,34,414,8.21%,14.92
https://stablestructure.co.nz/,20,142,14.08%,5.44
https://www.stablestructure.co.nz/about.html,2,75,2.67%,9.55
https://www.stablestructure.co.nz/services/site-inspections.html,1,46,2.17%,38.04
https://www.stablestructure.co.nz/services.html,1,40,2.5%,9.85
https://www.stablestructure.co.nz/contact.html,1,28,3.57%,15
https://www.stablestructure.co.nz/process.html,1,18,5.56%,6.89
https://www.stablestructure.co.nz/services/construction-supervision.html,0,54,0%,35.31
https://www.stablestructure.co.nz/services/retaining-walls.html,0,52,0%,45.23
https://www.stablestructure.co.nz/services/building-consent-documentation.html,0,20,0%,22.8
https://www.stablestructure.co.nz/testimonials.html,0,19,0%,7.68
https://www.stablestructure.co.nz/services/structural-design.html,0,9,0%,26.89
https://www.stablestructure.co.nz/faq.html,0,5,0%,24.4
https://www.stablestructure.co.nz/services/carports-sheds-portals.html,0,5,0%,39.8
https://www.stablestructure.co.nz/sectors.html,0,4,0%,3.5
https://www.stablestructure.co.nz/services/swimming-pools.html,0,2,0%,23.5
https://www.stablestructure.co.nz/services/decks-outdoor-living.html,0,1,0%,7
