Date,Clicks,Impressions,CTR,Position
2026-08-09,4,54,7.41%,19.4
2026-08-10,1,92,1.09%,29.1
2026-08-11,6,77,7.79%,28.3
2026-08-12,4,69,5.8%,13.9
2026-08-13,11,118,9.32%,24.9
2026-08-14,1,81,1.23%,11.8
2026-08-15,1,118,0.85%,12.9
2026-08-16,2,235,0.85%,11.9
2026-08-17,7,223,3.14%,9.1
2026-08-18,5,233,2.15%,9.1
2026-08-19,3,248,1.21%,10.2
2026-08-20,3,221,1.36%,9
2026-08-21,4,136,2.94%,20.5
2026-08-22,3,115,2.61%,18.4
2026-08-23,4,216,1.85%,9.8
2026-08-24,2,178,1.12%,10.2
2026-08-25,2,137,1.46%,16.8
2026-08-26,5,149,3.36%,17.6
2026-08-27,3,130,2.31%,18.3
2026-08-28,3,73,4.11%,15.1
2026-08-29,1,106,0.94%,20.2
2026-08-30,1,173,0.58%,21.7
2026-08-31,2,276,0.72%,24.8
2026-09-01,3,78,3.85%,8.2
2026-09-02,2,238,0.84%,27.2
2026-09-03,7,123,5.69%,11.9
2026-09-04,5,89,5.62%,13.4
2026-09-05,3,58,5.17%,18.3
