Date,Clicks,Impressions,CTR,Position
2026-08-09,5,68,7.35%,16
2026-08-10,4,114,3.51%,24.5
2026-08-11,7,101,6.93%,22.9
2026-08-12,6,80,7.5%,12.2
2026-08-13,11,128,8.59%,23.6
2026-08-14,1,93,1.08%,10.7
2026-08-15,1,123,0.81%,12.6
2026-08-16,4,247,1.62%,11.8
2026-08-17,8,235,3.4%,8.8
2026-08-18,7,245,2.86%,8.8
2026-08-19,6,262,2.29%,9.8
2026-08-20,4,238,1.68%,8.7
2026-08-21,6,154,3.9%,18.5
2026-08-22,3,122,2.46%,17.7
2026-08-23,6,228,2.63%,9.4
2026-08-24,5,197,2.54%,9.3
2026-08-25,4,152,2.63%,15.7
2026-08-26,5,166,3.01%,16.1
2026-08-27,4,143,2.8%,16.9
2026-08-28,3,104,2.88%,11.2
2026-08-29,2,119,1.68%,18.3
2026-08-30,3,213,1.41%,18
2026-08-31,3,297,1.01%,23.2
2026-09-01,5,85,5.88%,7.7
2026-09-02,2,250,0.8%,26.1
2026-09-03,7,144,4.86%,10.5
2026-09-04,6,110,5.45%,11.2
2026-09-05,3,64,4.69%,17.3
