Country,Clicks,Impressions,CTR,Position
New Zealand,121,3922,3.09%,15.26
Australia,4,69,5.8%,4.25
Sri Lanka,2,14,14.29%,4.57
United States,1,158,0.63%,7.82
Hong Kong,1,10,10%,8.4
Vietnam,1,10,10%,27.9
Philippines,1,8,12.5%,15.5
India,0,45,0%,21.6
United Kingdom,0,36,0%,6.36
Canada,0,15,0%,6
South Africa,0,14,0%,23.5
Tokelau,0,13,0%,15.31
Thailand,0,10,0%,16.3
Singapore,0,10,0%,23.8
United Arab Emirates,0,9,0%,9.56
Pakistan,0,7,0%,2.43
Turkey,0,6,0%,6
Germany,0,6,0%,6.83
Malaysia,0,6,0%,51.17
Netherlands,0,5,0%,4
Japan,0,5,0%,4.8
Ireland,0,5,0%,15.6
Russia,0,5,0%,21.8
Bangladesh,0,5,0%,25.4
Saudi Arabia,0,4,0%,22
Indonesia,0,4,0%,32
Kiribati,0,3,0%,2
Brazil,0,3,0%,2.33
Taiwan,0,3,0%,2.67
Qatar,0,3,0%,3.33
Sweden,0,3,0%,4.33
South Korea,0,3,0%,4.67
Ethiopia,0,3,0%,6.33
Zimbabwe,0,3,0%,7.67
Denmark,0,3,0%,9.67
Italy,0,3,0%,16.33
Portugal,0,2,0%,1.5
Nigeria,0,2,0%,3
Switzerland,0,2,0%,4
Poland,0,2,0%,4
Serbia,0,2,0%,4
Argentina,0,2,0%,5.5
Iran,0,2,0%,6
Costa Rica,0,2,0%,8
Greece,0,2,0%,19
Morocco,0,2,0%,27.5
France,0,2,0%,34
Ukraine,0,2,0%,36.5
Croatia,0,2,0%,39
Mexico,0,2,0%,68
Cook Islands,0,1,0%,1
Ghana,0,1,0%,1
Israel,0,1,0%,1
Mozambique,0,1,0%,1
Samoa,0,1,0%,1
Kenya,0,1,0%,2
Syria,0,1,0%,2
Malta,0,1,0%,3
Maldives,0,1,0%,4
Uzbekistan,0,1,0%,4
Honduras,0,1,0%,5
Egypt,0,1,0%,6
Bulgaria,0,1,0%,7
Oman,0,1,0%,7
Colombia,0,1,0%,8
Somalia,0,1,0%,8
Fiji,0,1,0%,9
Georgia,0,1,0%,9
Hungary,0,1,0%,9
Azerbaijan,0,1,0%,10
Belarus,0,1,0%,10
Spain,0,1,0%,11
Tonga,0,1,0%,11
